Project Name;Component Group;Component Name;Service Name
CorporateCredits;CCSCredit;TCMBPolicyRequest;CCS_CRD_TCMB_POLICY_REQUEST_SAVE
CorporateCredits;CCSCredit;TCMBPolicyRequest;CCS_CRD_TCMB_POLICY_REQUEST_SEND_APPROVE
CorporateCredits;CCSCredit;TCMBPolicyRequest;CCS_CRD_TCMB_POLICY_REQUEST_SEND_TCMB_APPROVE
CorporateCredits;CCSCredit;TCMBPolicyRequest;CCS_CRD_TCMB_POLICY_REQUEST_SERVICE_SAVE
CorporateCredits;CCSCredit;TCMBPolicyRequest;CCS_CRD_TCMB_POLICY_REQUEST_STATE_QUERY
CorporateCredits;CCSCredit;TCMBPolicyRequest;CCS_CRD_TCMB_POLICY_REQUEST_UPDATE_VALIDATE
CorporateCredits;CCSCredit;TCMBPolicyRequest;CCS_CRD_TCMB_POLICY_REQUEST_VALIDATE
CorporateCredits;CCSCredit;TCMBPolicyRequest;CCS_CRD_TCMB_POLICY_REQUEST_VRHIB_SAVE
CorporateCredits;CCSCredit;TCMBPolicyRequest;CCS_CRD_TCMB_QUERY_BALANCE
CorporateCredits;CCSCredit;TCMBPolicyRequest;CCS_CRD_TCMB_QUERY_FIRM
CorporateCredits;CCSCredit;TCMBPolicyRequest;CCS_CRD_TCMB_QUERY_LIMIT
CorporateCredits;CCSCredit;TCMBPolicyRequest;CCS_CRD_TCMB_REDISCOUNT_EXCHANGE_RATE_GET
CorporateCredits;CCSCredit;TCMBPolicyRequest;CCS_CRD_TCMB_REDISCOUNT_EXCHANGE_RATE_LIST
CorporateCredits;CCSCredit;TCMBPolicyRequest;CCS_REDISCOUNT_CREDITS_SEND_MAIL_PAYMENT_DUE_TODAY
CorporateCredits;CCSCredit;TCMBPolicyRequest;CCS_REDISCOUNT_CREDITS_THAT_WILL_EXPIRE_AFTER_SEVEN_DAY_SEND_MAIL
CorporateCredits;CCSCredit;TCMBPolicyRequest;CCS_TCMB_CONTRACT_OPERATION_DOCUMENT_SEND_TO_FTP
CorporateCredits;CCSCredit;Test;CCS_CRD_TEST_ENGIN
CorporateCredits;CCSCredit;Test;TEST_CCS
CorporateCredits;CCSCredit;Utility;CCS_CRD_CANCEL_DELAYED_ACCRUALS
CorporateCredits;CCSCredit;Utility;CCS_CRD_CANCEL_REDISCOUNT_CORRECTION
CorporateCredits;CCSCredit;Utility;CCS_CRD_CONTROL_INDEXED_CREDIT_MAIL
CorporateCredits;CCSCredit;Utility;CCS_CRD_CREDIT_ACCOUNT_UPDATE_FOR_IGE
CorporateCredits;CCSCredit;Utility;CCS_CRD_CREDIT_GET_ALLOTMENT_STATE_CONTROL
CorporateCredits;CCSCredit;Utility;CCS_CRD_CREDIT_GET_ALLOTMENT_STATE_PASSIVE_CONTROL
CorporateCredits;CCSCredit;Utility;CCS_CRD_CREDIT_GET_BAD_CHEQUEL_CONTROL
CorporateCredits;CCSCredit;Utility;CCS_CRD_CREDIT_GET_BANKRUPTCY_CONTROL
CorporateCredits;CCSCredit;Utility;CCS_CRD_CREDIT_GET_CUSTOMER_FIA_CONTROL
CorporateCredits;CCSCredit;Utility;CCS_CRD_CREDIT_GET_CUSTOMER_RISK_CONTROL
CorporateCredits;CCSCredit;Utility;CCS_CRD_CREDIT_GET_DELAY_RISK_CONTROL
CorporateCredits;CCSCredit;Utility;CCS_CRD_CREDIT_GET_DISTRESS_CONTROL
CorporateCredits;CCSCredit;Utility;CCS_CRD_CREDIT_GET_FRAUD_LIST_CONTROL
CorporateCredits;CCSCredit;Utility;CCS_CRD_CREDIT_GET_MEMZUC_CONTROL
ChecksBills;Checks;CheckbookManagement;SET_IS_APPROVAL_DELIVER_TO_CUST
ChecksBills;Checks;CheckbookManagement;SET_IS_NOT_APPROVAL_DELIVER_TO_CUST
ChecksBills;Checks;CheckDeduplication;CHECK_CHECK_DEDUPLICATION_AGREEMENT_DETAIL
ChecksBills;Checks;CheckDeduplication;CHECK_CHECK_DEDUPLICATION_AGREEMENT_GET_AGREEMENT_DETAIL
ChecksBills;Checks;CheckDeduplication;CHECK_CHECK_DEDUPLICATION_AGREEMENT_GET_AGREEMENT_LIST
ChecksBills;Checks;CheckDeduplication;CHECK_CHECK_DEDUPLICATION_AGREEMENT_GET_AGREEMENT_SUMMARY
ChecksBills;Checks;CheckDeduplication;CHECK_CHECK_DEDUPLICATION_AGREEMENT_LIST
