kaynak_turu,paket_adi,procedure_adi,satir_no,hedef_tablo,hedef_kolon,belirsiz_kolon,kullanim_tipi,aday_tablolar,sql_onizleme
ETL,,MO_TR_DM_CITY,24,TR_DM_CITY,CITY_GROUP1,region_code,LINEAGE,EX_INFRA_LOCATION_COUNTRY; TR_DM_COUNTRY_LAST; EX_INFRA_LOCATION_CITY; RASMAN.PR_DM_CITY_REGION,"insert into TR_DM_CITY
      select TT.CITY_NUMBERPLATE AS CITY_CODE,
             TT.CITY_NAME        AS CITY_NAME,
             TT.CITY_PHONE_CODE  AS CITY_PHONE_CODE,
             TT.CITY_PHONE_CODE2 AS CITY_PHONE_CODE2,
             null                AS COUNTRY_OID,
             TT.COUNTRY_CODE     AS COUNTRY_CODE,
             TT.COUNTRY_NAME     AS COUNTRY_NAME,
             region_code         AS CITY_GROUP1,
             branch_geo_region   AS CITY_GROUP1_DESC,
             NULL       "
ETL,,MO_TR_DM_COUNTRY,29,TR_DM_COUNTRY,tcmb_country_name,tcmb_country_name,LINEAGE,EX_INFRA_LOCATION_COUNTRY; RASMAN.PR_DM_COUNTRY_AB; RASMAN.PR_KKB_COUNTRY_CODES; RASMAN.PR_DM_TCMB_COUNTRY,"INSERT INTO stage.TR_DM_COUNTRY
      SELECT a.country_code                AS country_code,
             a.country_name                AS country_name,
             a.country_phone_code          AS country_phone_code,
             a.country_name_en             AS country_name_en,
             NULL                          AS country_group1,
             NULL                          AS country_group1_desc,
             NULL                          AS country_group2,
             NULL           "
ETL,,MO_TR_DM_ORG_ADDRESS,24,TR_DM_ORG_ADDRESS,ORG_TEL,PHONE_1,LINEAGE,EX_INFRA_ADMIN_ORG_ADDRESS; EX_INFRA_LOCATION_CITY; EX_INFRA_LOCATION_COUNTY; TR_DM_CITY_LAST; TR_DM_COUNTY_LAST,"insert into TR_DM_ORG_ADDRESS
	select
      ORGANIZATION_OID   as ORGANIZATION_OID,
      ORG_CITY_OID as ORG_CITY_OID,
      ORG_CITY_CODE as ORG_CITY_CODE,
      ORG_CITY_NAME as ORG_CITY_NAME,
      ORG_COUNTY_OID as ORG_COUNTY_OID,
      ORG_COUNTY_CODE as ORG_COUNTY_CODE,
      ORG_COUNTY_NAME as ORG_COUNTY_NAME,
      ORG_ADDRESS as ORG_ADDRESS,
      ORG_TEL as ORG_TEL,
      PHONE2 as PHONE2,
      EMAIL as EMAIL

    from
    (
    				SELECT 
                 Y.ORGANIZATION_OID,
    		"
ETL,,MS_EX_OFSA_GM_MASRAF_PAYI,59,OFSA_EX_GM_MASRAF_PAYI,GM_MASRAF_PAYI,GM_MASRAF_PAYI,LINEAGE,OFSA_SB.OFSA_SB_DAGITIM_KATSAYI; OLAP.DM_ORGANIZATION; OLAP.FC_VOUCHER_DETAIL; OFSA_SB.OFSA_EX_SUBE_KIRA; SUMMARY_PROD.GL_CUSTOMER,"INSERT
      INTO OFSA_SB.OFSA_EX_GM_MASRAF_PAYI

         SELECT PDATE AS TARIH,
             '999999999' AS MUS_NO,
             ISKOLU,
             SEGMENT,
             BOLGE,
             SUBE_KODU,
             '999999' AS MT,
             '88888888' AS URUN_KODU,
             'GM MASRAF PAYI' AS URUN_ADI,
             'TL' AS PB,
             'GM_MASRAF_PAYI' AS kaynak,
             '0' AS TOPLAM_FAIZ_DISI_GIDER,
             FAIZ_DISI_GIDER_ORAN AS KATSAYI,
             GM_MASRAF_PAYI

"
ETL,,MS_EX_OFSA_SB_AYRILAN_KARSILIK,68,OFSA_EX_AYRILAN_KARSILIK,,ALM_LOSSALLOWANCE,WHERE,FRM.IFRS_FINASTRA_CONTRACTS_RESULT; OLAP.FC_CUSTOMER; OLAP.DM_ORGANIZATION,"WHERE
  A.SEPET_3_AYRILAN_KARSILIK + A.SEPET_2_AYRILAN_KARSILIK + A.SEPET_1_AYRILAN_KARSILIK <> 0"
ETL,,MS_EX_OFSA_SB_AYRILAN_KARSILIK,68,OFSA_EX_AYRILAN_KARSILIK,,ALM_LOANSEGMENT,GROUP_BY,FRM.IFRS_FINASTRA_CONTRACTS_RESULT; OLAP.FC_CUSTOMER; OLAP.DM_ORGANIZATION,"GROUP BY
  PDATE2,
  A.ALM_CUSTOMERID,
  a.ALM_OPENINGDATE,
  CASE
    WHEN SEG.BUSINESS_SEGMENT_CODE IN ('00000', '00009', '00012', '00014', '99999')
    OR A.ALM_BUSINESSSEGMENTFRM IN (
      '06_BIREYSEL_KONUT',
      '07_BIREYSEL_TASIT',
      '10_BIREYSEL_KRM',
      '08_BIREYSEL_DIGER',
      '09_KREDI_KARTI'
    )
    THEN '7-BIREYSEL'
    WHEN SEG.BUSINESS_SEGMENT_CODE IN ('50041', '50042', '50043', '50044', '99996')
    THEN '5-TARIM'
    WHEN SEG.BUSINESS_SEGMENT_CODE IN ('40205', '403"
ETL,,MS_EX_OFSA_SB_AYRILAN_KARSILIK,68,OFSA_EX_AYRILAN_KARSILIK,,ALM_LOANSEGMENT,CASE_WHEN,FRM.IFRS_FINASTRA_CONTRACTS_RESULT; OLAP.FC_CUSTOMER; OLAP.DM_ORGANIZATION,"(
  SEG.BUSINESS_SEGMENT_CODE IN ('00000', '00009', '00012', '00014')
  AND ALM_LOANSEGMENT <> 'Bireysel'
)"
ETL,,MS_EX_OFSA_SB_AYRILAN_KARSILIK,68,OFSA_EX_AYRILAN_KARSILIK,,ALM_LOANSEGMENT,GROUP_BY,FRM.IFRS_FINASTRA_CONTRACTS_RESULT; OLAP.FC_CUSTOMER; OLAP.DM_ORGANIZATION,"GROUP BY
  PDATE2,
  A.ALM_CUSTOMERID,
  CASE
    WHEN SEG.BUSINESS_SEGMENT_CODE IN ('00000', '00009', '00012', '00014', '99999')
    OR A.ALM_BUSINESSSEGMENTFRM IN (
      '06_BIREYSEL_KONUT',
      '07_BIREYSEL_TASIT',
      '10_BIREYSEL_KRM',
      '08_BIREYSEL_DIGER',
      '09_KREDI_KARTI'
    )
    THEN '7-BIREYSEL'
    WHEN SEG.BUSINESS_SEGMENT_CODE IN ('50041', '50042', '50043', '50044', '99996')
    THEN '5-TARIM'
    WHEN SEG.BUSINESS_SEGMENT_CODE IN ('40205', '40304', '40305', '40306'"
ETL,,MS_EX_OFSA_SB_BAKIYE,36,OFSA_EX_BAKIYE,URUN_KODU,PRODUCT_TYPE,LINEAGE,SUMMARY_PROD.GL_LIABILITY; OLAP.FC_CUSTOMER,"INSERT
      INTO OFSA_SB.OFSA_EX_BAKIYE

     (
       
       select BKY.TARIH      AS AS_OF_DATE,
       BKY.MUS_NO     AS MUS_NO,
       BKY.SEGM       AS SEGMENT,
       OFSA_SB.MN_UTILITY.MAP_OFSA_ISKOLU (BUSINESS_SEGMENT_CODE   => BKY.segm) AS ISKOLU,
       CASE WHEN TO_NUMBER(BKY.SUBE) IN ('6','220','372','122') THEN -1 ELSE TO_NUMBER(ORG.PARENT_CODE) END BOLGE,
       TO_NUMBER(BKY.SUBE) AS SUBE,  
       BKY.OFF_CODE        AS MT,
       BKY.PRODUCT_TYPE    AS URUN_KODU,
       BKY.PR"
ETL,,MS_EX_OFSA_SB_BAKIYE,36,OFSA_EX_BAKIYE,,PRODUCT_TYPE,GROUP_BY,SUMMARY_PROD.GL_LIABILITY; OLAP.FC_CUSTOMER,"GROUP BY
  CASE
    WHEN TO_NUMBER(A.BRANCH_CODE) IN ('188', '1', '219')
    THEN TO_NUMBER(C.MAIN_BRANCH_CODE)
    ELSE TO_NUMBER(A.BRANCH_CODE)
  END,
  A.CUSTOMER_CODE,
  SEG.BUSINESS_SEGMENT_CODE,
  A.REPRESENTATIVE_FILE_NO,
  NVL(PRODUCT_TYPE, 888888),
  A.PRODUCT_NAME,
  A.CURRENCY_CODE"
