kaynak_turu,rapor_adi,dosya_adi,hedef_kolon,belirsiz_kolon,kullanim_tipi,aday_tablolar,sql_onizleme
RAPOR,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi.sql,TARIH,TARIH,LINEAGE,OFSA_SB.PROD_ORG_PROFIT; OLAP.DM_ORGANIZATION,"SELECT SUBE_KARLILIK_SIRALI.TARIH,
           SUBE_KARLILIK_SIRALI.BOLGE_ADI,
           SUBE_KARLILIK_SIRALI.CREATE_DATE,
           SUBE_KARLILIK_SIRALI.SUBE_KODU,
           SUBE_KARLILIK_SIRALI.SUBE_ADI,
           SUBE_KARLILIK_SIRALI.ISKOLU,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KREDI,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KK,
           SUBE_KARLILIK_SIRALI.TOP_FAIZ_GEL_LNR,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_LNR_MEVD,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_GM_BILANC"
RAPOR,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi.sql,ISKOLU,ISKOLU,LINEAGE,OFSA_SB.PROD_ORG_PROFIT; OLAP.DM_ORGANIZATION,"SELECT SUBE_KARLILIK_SIRALI.TARIH,
           SUBE_KARLILIK_SIRALI.BOLGE_ADI,
           SUBE_KARLILIK_SIRALI.CREATE_DATE,
           SUBE_KARLILIK_SIRALI.SUBE_KODU,
           SUBE_KARLILIK_SIRALI.SUBE_ADI,
           SUBE_KARLILIK_SIRALI.ISKOLU,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KREDI,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KK,
           SUBE_KARLILIK_SIRALI.TOP_FAIZ_GEL_LNR,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_LNR_MEVD,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_GM_BILANC"
RAPOR,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi.sql,FAIZ_GEL_LNR_KREDI,FAIZ_GEL_LNR_KREDI,LINEAGE,OFSA_SB.PROD_ORG_PROFIT; OLAP.DM_ORGANIZATION,"SELECT SUBE_KARLILIK_SIRALI.TARIH,
           SUBE_KARLILIK_SIRALI.BOLGE_ADI,
           SUBE_KARLILIK_SIRALI.CREATE_DATE,
           SUBE_KARLILIK_SIRALI.SUBE_KODU,
           SUBE_KARLILIK_SIRALI.SUBE_ADI,
           SUBE_KARLILIK_SIRALI.ISKOLU,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KREDI,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KK,
           SUBE_KARLILIK_SIRALI.TOP_FAIZ_GEL_LNR,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_LNR_MEVD,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_GM_BILANC"
RAPOR,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi.sql,FAIZ_GEL_LNR_KK,FAIZ_GEL_LNR_KK,LINEAGE,OFSA_SB.PROD_ORG_PROFIT; OLAP.DM_ORGANIZATION,"SELECT SUBE_KARLILIK_SIRALI.TARIH,
           SUBE_KARLILIK_SIRALI.BOLGE_ADI,
           SUBE_KARLILIK_SIRALI.CREATE_DATE,
           SUBE_KARLILIK_SIRALI.SUBE_KODU,
           SUBE_KARLILIK_SIRALI.SUBE_ADI,
           SUBE_KARLILIK_SIRALI.ISKOLU,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KREDI,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KK,
           SUBE_KARLILIK_SIRALI.TOP_FAIZ_GEL_LNR,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_LNR_MEVD,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_GM_BILANC"
RAPOR,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi.sql,TOP_FAIZ_GEL_LNR,TOP_FAIZ_GEL_LNR,LINEAGE,OFSA_SB.PROD_ORG_PROFIT; OLAP.DM_ORGANIZATION,"SELECT SUBE_KARLILIK_SIRALI.TARIH,
           SUBE_KARLILIK_SIRALI.BOLGE_ADI,
           SUBE_KARLILIK_SIRALI.CREATE_DATE,
           SUBE_KARLILIK_SIRALI.SUBE_KODU,
           SUBE_KARLILIK_SIRALI.SUBE_ADI,
           SUBE_KARLILIK_SIRALI.ISKOLU,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KREDI,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KK,
           SUBE_KARLILIK_SIRALI.TOP_FAIZ_GEL_LNR,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_LNR_MEVD,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_GM_BILANC"
RAPOR,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi.sql,FAIZ_GID_LNR_MEVD,FAIZ_GID_LNR_MEVD,LINEAGE,OFSA_SB.PROD_ORG_PROFIT; OLAP.DM_ORGANIZATION,"SELECT SUBE_KARLILIK_SIRALI.TARIH,
           SUBE_KARLILIK_SIRALI.BOLGE_ADI,
           SUBE_KARLILIK_SIRALI.CREATE_DATE,
           SUBE_KARLILIK_SIRALI.SUBE_KODU,
           SUBE_KARLILIK_SIRALI.SUBE_ADI,
           SUBE_KARLILIK_SIRALI.ISKOLU,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KREDI,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KK,
           SUBE_KARLILIK_SIRALI.TOP_FAIZ_GEL_LNR,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_LNR_MEVD,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_GM_BILANC"
RAPOR,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi.sql,FAIZ_GID_GM_BILANCO,FAIZ_GID_GM_BILANCO,LINEAGE,OFSA_SB.PROD_ORG_PROFIT; OLAP.DM_ORGANIZATION,"SELECT SUBE_KARLILIK_SIRALI.TARIH,
           SUBE_KARLILIK_SIRALI.BOLGE_ADI,
           SUBE_KARLILIK_SIRALI.CREATE_DATE,
           SUBE_KARLILIK_SIRALI.SUBE_KODU,
           SUBE_KARLILIK_SIRALI.SUBE_ADI,
           SUBE_KARLILIK_SIRALI.ISKOLU,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KREDI,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KK,
           SUBE_KARLILIK_SIRALI.TOP_FAIZ_GEL_LNR,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_LNR_MEVD,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_GM_BILANC"
RAPOR,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi.sql,FAIZ_GID_DIGER,FAIZ_GID_DIGER,LINEAGE,OFSA_SB.PROD_ORG_PROFIT; OLAP.DM_ORGANIZATION,"SELECT SUBE_KARLILIK_SIRALI.TARIH,
           SUBE_KARLILIK_SIRALI.BOLGE_ADI,
           SUBE_KARLILIK_SIRALI.CREATE_DATE,
           SUBE_KARLILIK_SIRALI.SUBE_KODU,
           SUBE_KARLILIK_SIRALI.SUBE_ADI,
           SUBE_KARLILIK_SIRALI.ISKOLU,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KREDI,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KK,
           SUBE_KARLILIK_SIRALI.TOP_FAIZ_GEL_LNR,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_LNR_MEVD,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_GM_BILANC"
RAPOR,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi.sql,FONLM_MLYT_KREDI,FONLM_MLYT_KREDI,LINEAGE,OFSA_SB.PROD_ORG_PROFIT; OLAP.DM_ORGANIZATION,"SELECT SUBE_KARLILIK_SIRALI.TARIH,
           SUBE_KARLILIK_SIRALI.BOLGE_ADI,
           SUBE_KARLILIK_SIRALI.CREATE_DATE,
           SUBE_KARLILIK_SIRALI.SUBE_KODU,
           SUBE_KARLILIK_SIRALI.SUBE_ADI,
           SUBE_KARLILIK_SIRALI.ISKOLU,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KREDI,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KK,
           SUBE_KARLILIK_SIRALI.TOP_FAIZ_GEL_LNR,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_LNR_MEVD,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_GM_BILANC"
RAPOR,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi,BUTCE-OFSA_SB001_Subeler_Detayli_Kar_Listesi.sql,FONLM_MLYT_KK,FONLM_MLYT_KK,LINEAGE,OFSA_SB.PROD_ORG_PROFIT; OLAP.DM_ORGANIZATION,"SELECT SUBE_KARLILIK_SIRALI.TARIH,
           SUBE_KARLILIK_SIRALI.BOLGE_ADI,
           SUBE_KARLILIK_SIRALI.CREATE_DATE,
           SUBE_KARLILIK_SIRALI.SUBE_KODU,
           SUBE_KARLILIK_SIRALI.SUBE_ADI,
           SUBE_KARLILIK_SIRALI.ISKOLU,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KREDI,
           SUBE_KARLILIK_SIRALI.FAIZ_GEL_LNR_KK,
           SUBE_KARLILIK_SIRALI.TOP_FAIZ_GEL_LNR,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_LNR_MEVD,
           SUBE_KARLILIK_SIRALI.FAIZ_GID_GM_BILANC"
